timestamp	val_bpb	train_loss	throughput_Mvps	num_params_M	peak_vram_mb
2026-03-22 14:54:57	0.024048	0.264701	0.42	6.030	10253.2
2026-03-22 18:08:14	0.014106	0.155839	0.29	9.964	5885.9
2026-03-22 18:26:00	0.006945	0.035799	0.10	39.719	11998.3
2026-03-22 18:50:11	0.006271	0.033496	0.67	2.508	14632.7
2026-03-22 18:55:19	0.004593	0.010050	0.65	2.508	14632.7
2026-03-22 19:00:27	0.003947	0.018232	0.71	2.262	13669.9
2026-03-22 21:42:17	0.003849	0.022508	0.73	2.262	20486.3
2026-03-22 21:47:30	0.001896	0.012907	0.74	2.262	20486.3
2026-03-22 21:57:54	0.001026	0.006279	0.73	2.262	20486.3
2026-03-22 22:03:06	0.000750	0.006781	0.73	2.262	20486.3
2026-03-22 23:07:00	0.000501	0.011196	1.48	1.032	8388.5
2026-03-23 01:36:02	0.000434	0.007496	1.47	1.032	8388.5
2026-03-23 01:51:22	0.000389	0.006907	2.17	0.267	4696.5
2026-03-23 02:16:58	0.000153	0.004661	2.28	0.267	1577.7
2026-03-23 03:48:59	0.000088	0.004095	2.27	0.267	1577.7
2026-03-23 08:21:00	0.000050	0.001630	1.99	0.267	1577.7
2026-03-23 08:46:41	0.000047	0.001195	2.10	0.267	1128.2
2026-03-23 11:02:51	0.000043	0.003072	1.70	0.267	1128.2
2026-03-23 12:14:39	0.000027	0.002053	1.18	0.328	1309.0
